Code,Si/Do,시군구,City_Name,Si/Gun,Smart_City,1st_SC (U-City & LH_SC service in Transport & Security),2nd_SC (Multiple SC service),SC_Ordinance,RE,RE_B,RE_E,SG,CI,ES_Ave,ES1,EC2,EC3,EC4,EC5,Elec_HPS,TB,ER,Population, Business ,FIR,GRDP,Car,UA,RA,CA,IA,GA,Road,F_Culture,F_Research,Hospitals,Waste
43760,Chungbuk,괴산군,Goesan-gun,Gun,3,,, -   ,"93,935",0.000%,0.000%,1 ,0 ,3.739 ,3.11 ,4.07 ,3.72 ,3.94 ,3.87 ,227063 ,0.00%, 1 ,"19,905"," 2,792 ",27.5," 930,014 "," 20,823 ",5.9,27.1,3.9,24.0,45.1,"9,605,537",5,0,1,0.83
43770,Chungbuk,음성군,Eumseong-gun,Gun,1,충북혁신(07~15),, -   ,"50,314",0.000%,0.000%,1 ,1 ,3.610 ,2.93 ,4.07 ,3.35 ,3.87 ,3.84 ,379444 ,0.00%, -   ,"44,649"," 9,023 ",21.5," 4,352,969 "," 55,016 ",30.3,6.6,1.2,6.9,85.4,"5,762,240",0,0,0,1.56
43800,Chungbuk,단양군,Danyang-gun,Gun,3,,, -   ,"99,272",0.033%,0.000%,0 ,0 ,3.709 ,3.18 ,4.07 ,3.70 ,3.81 ,3.78 ,222619 ,0.00%, 1 ,"14,744"," 2,993 ",18.1," 1,128,159 "," 15,529 ",18.1,20.7,1.8,12.1,65.4,"2,632,485",2,0,0,1.09
44130,Chungnam,천안시,Cheonan-si,Si,2,유비쿼터스 도시계획,아산배방(04~13), -   ,"107,815",0.014%,0.004%,0 ,2 ,3.679 ,3.20 ,4.17 ,3.65 ,3.66 ,3.72 ,2638360 ,0.00%, 2 ,"254,676"," 47,362 ",44.1," 26,803,015 "," 286,786 ",41.8,24.5,2.3,8.6,64.6,"19,913,882",5,5,2,1.43
44150,Chungnam,공주시,Gongju-si,Si,3,,, -   ,"129,956",0.022%,0.000%,1 ,0 ,3.717 ,3.24 ,4.17 ,3.65 ,3.67 ,3.86 ,596052 ,0.00%, 2 ,"48,835"," 8,852 ",19.9," 3,679,503 "," 52,504 ",22.3,10.0,0.9,5.5,83.6,"12,309,556",2,1,1,1.28
44180,Chungnam,보령시,Boryeong-si,Si,3,,, -   ,"77,126",0.000%,0.000%,0 ,0 ,3.696 ,3.25 ,4.17 ,3.65 ,3.74 ,3.67 ,725926 ,0.00%, 1 ,"47,011"," 8,656 ",20.9," 4,100,915 "," 49,465 ",19.7,13.7,1.8,25.4,54.4,"13,278,685",2,0,0,1.40
44200,Chungnam,아산시,Asan-si,Si,2,,아산배방(04~13),2012,"78,640",0.028%,0.007%,0 ,3 ,3.649 ,3.12 ,4.17 ,3.65 ,3.61 ,3.70 ,1577925 ,0.16%, 1 ,"124,223"," 20,936 ",45.5," 28,919,623 "," 147,798 ",24.7,21.3,3.0,15.5,60.2,"10,065,389",2,0,0,0.98
44210,Chungnam,서산시,Seosan-si,Si,3,,, -   ,"69,203",0.016%,0.000%,0 ,3 ,3.688 ,3.18 ,4.17 ,3.65 ,3.54 ,3.91 ,0 ,0.00%, 2 ,"70,991"," 12,128 ",31.8," 12,700,376 "," 84,886 ",21.9,6.2,0.5,13.6,53.5,"16,542,412",5,1,1,0.99
44230,Chungnam,논산시,Nonsan-si,Si,3,,, -   ,"64,652",0.000%,0.000%,0 ,2 ,3.770 ,3.30 ,4.17 ,3.65 ,3.98 ,3.75 ,604019 ,0.00%, 1 ,"56,347"," 10,402 ",16.4," 3,431,988 "," 58,892 ",15.2,15.2,1.4,4.0,79.4,"14,166,682",5,0,1,1.41
44250,Chungnam,계룡시,Gyeryong-si,Si,1,U-city(기반조성),, -   ,"8,181",0.000%,0.000%,0 ,0 ,3.656 ,3.17 ,4.17 ,3.65 ,3.52 ,3.77 ,216289 ,0.00%, 2 ,"14,858"," 2,132 ",24.8," 837,215 "," 19,898 ",4.8,7.6,0.7,1.5,90.2,"2,483,640",3,0,0,1.05
44270,Chungnam,당진시,Dangjin-si,Si,3,,, -   ,"82,557",0.016%,0.000%,0 ,5 ,3.697 ,3.10 ,4.17 ,3.65 ,3.76 ,3.81 ,894482 ,0.00%, 2 ,"73,434"," 12,279 ",34.8," 12,634,669 "," 87,828 ",26.0,11.6,1.5,43.8,39.4,"14,231,899",6,0,2,1.10
44710,Chungnam,금산군,Geumsan-gun,Gun,3,,, -   ,"62,985",0.121%,0.059%,0 ,0 ,3.635 ,3.14 ,4.17 ,3.65 ,3.59 ,3.63 ,274222 ,0.00%, 1 ,"25,342"," 5,604 ",19.4," 2,156,528 "," 28,983 ",3.8,13.0,1.4,3.6,82.0,"1,551,487",1,0,0,1.01
44760,Chungnam,부여군,Buyeo-gun,Gun,3,,, -   ,"60,611",0.000%,0.000%,0 ,0 ,3.674 ,3.07 ,4.17 ,3.65 ,3.53 ,3.95 ,289472 ,0.00%, 1 ,"32,903"," 4,919 ",11.1," 1,848,023 "," 33,577 ",9.5,7.9,1.3,0.5,90.2,"1,922,690",5,0,0,1.10
44770,Chungnam,서천군,Seocheon-gun,Gun,3,,, -   ,"29,061",0.000%,0.000%,0 ,0 ,3.777 ,3.30 ,4.17 ,3.65 ,3.82 ,3.95 ,347586 ,0.00%, 1 ,"26,583"," 4,622 ",12.7," 2,037,957 "," 26,820 ",12.7,19.3,2.5,16.1,60.4,"5,650,758",0,0,0,1.29
44790,Chungnam,청양군,Cheongyang-gun,Gun,3,,, -   ,"53,300",0.192%,0.074%,0 ,0 ,3.636 ,3.38 ,4.17 ,3.65 ,3.42 ,3.56 ,147561 ,0.00%, 1 ,"15,668"," 2,981 ",16.2," 1,027,286 "," 16,603 ",7.5,21.5,1.9,5.5,71.2,"792,027",1,0,0,0.80
44800,Chungnam,홍성군,Hongseong-gun,Gun,3,,, -   ,"103,047",0.013%,0.000%,0 ,0 ,3.600 ,3.03 ,4.17 ,3.65 ,3.36 ,3.80 ,480185 ,0.03%, 1 ,"43,555"," 7,927 ",20.3," 2,972,242 "," 48,530 ",14.8,24.1,2.5,6.3,66.8,"4,115,577",1,1,1,0.79
